,medline,pubmed,doi,rid,eid,pmc,pmcid,pii,mid
77,[],['26699362'],10.1371/journal.pone.0145321,26699362,26699362,PMC4689418,pmc-id: PMC4689418;,PONE-D-15-38386,
78,[],['26934552'],10.18632/oncotarget.7698,26934552,26934552,PMC4924767,pmc-id: PMC4924767;,7698,
79,[],['27298374'],10.1073/pnas.1523512113,27298374,27298374,PMC4941508,pmc-id: PMC4941508;,1523512113,
80,[],['28073359'],10.1186/s12931-016-0496-3,28073359,28073359,PMC5223343,pmc-id: PMC5223343;,10.1186/s12931-016-0496-3,
81,[],['29652884'],10.1371/journal.pone.0194834,29652884,29652884,PMC5898717,pmc-id: PMC5898717;,PONE-D-17-43854,
82,[],['29506241'],10.1093/hmg/ddy074,29506241,29506241,PMC5932568,pmc-id: PMC5932568;,4916087,
83,[],['29520862'],10.1111/pce.13185,29520862,29520862,PMC6001645,pmc-id: PMC6001645;,,
84,[],['26824246'],10.1371/journal.pone.0147625,26824246,26824246,PMC4733103,pmc-id: PMC4733103;,PONE-D-15-42275,
85,[],['27003939'],10.1016/j.devcel.2016.02.020,27003939,27003939,,,S1534-5807(16)30075-2,
86,[],['28634240'],10.1128/mBio.00857-17,28634240,28634240,PMC5478895,pmc-id: PMC5478895;,mBio.00857-17,
87,[],['27255895'],10.1530/ERC-16-0160,27255895,27255895,,,ERC-16-0160,
88,[],['26154057'],10.1016/j.cmet.2015.06.002,26154057,26154057,PMC4502596,pmc-id: PMC4502596;manuscript-id: NIHMS705267;,S1550-4131(15)00269-7,NIHMS705267
89,[],['29896111'],10.3389/fphys.2018.00618,29896111,29896111,PMC5986927,pmc-id: PMC5986927;,,
90,[],['32153152'],10.33594/000000216,32153152,32153152,,,,
91,[],['19605697'],10.1189/jlb.0408240,19605697,19605697,PMC2752014,pmc-id: PMC2752014;,jlb.0408240,
92,[],['26537246'],10.1038/srep16147,26537246,26537246,PMC4633615,pmc-id: PMC4633615;,srep16147,
93,[],['27504807'],10.7554/eLife.18414,27504807,27504807,PMC4999312,pmc-id: PMC4999312;,,
94,[],['30564749'],10.1038/s42003-018-0215-3,30564749,30564749,PMC6292906,pmc-id: PMC6292906;,215,
95,[],['26868908'],10.1038/cdd.2015.175,26868908,26868908,PMC4946889,pmc-id: PMC4946889;,cdd2015175,
96,[],['27306794'],10.1158/1078-0432.CCR-16-0905,27306794,27306794,,,22/12/3118,
97,[],['28451461'],10.1002/cjp2.69,28451461,28451461,PMC5402179,pmc-id: PMC5402179;,CJP269,
98,[],['29505817'],10.1016/j.fct.2018.02.062,29505817,29505817,,,S0278-6915(18)30136-4,
99,[],['26575044'],10.1111/php.12550,26575044,26575044,,,,
